Participant,Condition,Accuracy,key_resp.rt,,,Accuracy(instrumental),Accuracy(Silence),Accuracy(lyrical),,,Rt (instru),Rt(lyrical),Rt(silence),,,,
P3,lyrical,1,0.7545864,,,,,,,,,,,,,,
P3,lyrical,0,1.7525854,,,,,,,,,,,,,,
P3,lyrical,1,0.5880134,,,,,,,,,,,,,,
P3,lyrical,1,23.085327,,,,,,,,,,,,,,
P3,lyrical,1,1.0910092,,,,,,,,,,,,,,
P3,lyrical,1,2.8607929,,,,,,,,,,,,,,
P3,lyrical,1,0.6283848,,,,,,,,,,,,,,
P3,lyrical,1,1.160156,,,,,,,,,,,,,,
P3,lyrical,1,0.729826,,,,,,,,,,,,,,
P4,lyrical,1,1.1130735,,,,,,,,,,,,,,
P4,lyrical,1,2.8883215,,,,,,,,,,,,,,
P4,lyrical,1,3.6594258,,,,,,,,,,,,,,
P4,lyrical,1,0.6366934,,,,,,,,,,,,,,
P4,lyrical,1,0.8637912,,,,,,,,,,,,,,
P4,lyrical,1,1.59841,,,,,,,,,,,,,,
P4,lyrical,1,0.9324364,,,,,,,,,,,,,,
P4,lyrical,1,1.0373117,,,,,,,,,,,,,,
P4,lyrical,1,0.6896958,,,,,,,,,,,,,,
P4,lyrical,0,0.7746501,,,,,,,,,,,,,,
P5,lyrical,1,1.651683,,,,,,,,,,,,,,
P5,lyrical,1,1.7009585,,,,,,,,,,,,,,
P5,lyrical,0,1.6499693,,,,,,,,,,,,,,
P5,lyrical,0,1.1711803,,,,,,,,,,,,,,
P5,lyrical,1,0.6314386,,,,,,,,,,,,,,
P5,lyrical,1,0.6353627,,,,,,,,,,,,,,
P5,lyrical,1,0.7658783,,,,,,,,,,,,,,
P5,lyrical,1,0.9872267,,,,,,,,,,,,,,
P5,lyrical,1,1.6779032,,,,,,,,,,,,,,
P5,lyrical,1,0.7554359,,,,,,,,,,,,,,
P1,silence,0,5.5060826,,,,,,,,,,,,,,
P2,silence,1,4.4562393,,,,,,,,,,,,,,
P3,silence,1,0.701371,,,,,,,,,,,,,,
P5,silence,1,0.9423403,,,,,,,,,,,,,,
P4,silence,0,0.933738,,,,,,,,,,,,,,
P2,silence,1,1.061714,,,,,,,,,,,,,,
P2,silence,1,1.5890424,,,,,,,,,,,,,,
P3,silence,1,0.4904018,,,,,,,,,,,,,,
P3,silence,1,0.7470018,,,,,,,,,,,,,,
P3,silence,1,0.920985,,,,,,,,,,,,,,
P1,silence,1,1.0180812,,,,,,,,,,,,,,
P1,silence,1,0.7675944,,,,,,,,,,,,,,
P1,silence,1,0.7790982,,,,,,,,,,,,,,
P1,silence,0,0.7107938,,,,,,,,,,,,,,
P1,silence,1,0.9919816,,,,,,,,,,,,,,
P1,silence,1,1.1682814,,,,,,,,,,,,,,
P1,silence,0,3.4504867,,,,,,,,,,,,,,
P1,silence,1,1.5953733,,,,,,,,,,,,,,
P1,silence,1,5.444632,,,,,,,,,,,,,,
P2,silence,1,1.3682366,,,,,,,,,,,,,,
P2,silence,1,0.6867178,,,,,,,,,,,,,,
P2,silence,1,0.8577837,,,,,,,,,,,,,,
P2,silence,1,0.8074516,,,,,,,,,,,,,,
P2,silence,1,1.0465223,,,,,,,,,,,,,,
P2,silence,1,2.9699231,,,,,,,,,,,,,,
P2,silence,1,0.6824688,,,,,,,,,,,,,,
P3,silence,1,0.6264812,,,,,,,,,,,,,,
P3,silence,1,0.641684,,,,,,,,,,,,,,
P3,silence,1,1.0168994,,,,,,,,,,,,,,
P3,silence,1,0.8838875,,,,,,,,,,,,,,
P3,silence,1,1.1034696,,,,,,,,,,,,,,
P3,silence,0,1.4657951,,,,,,,,,,,,,,
P4,silence,1,0.9222573,,,,,,,,,,,,,,
P4,silence,1,0.8239287,,,,,,,,,,,,,,
P4,silence,1,1.6128583,,,,,,,,,,,,,,
P4,silence,1,0.7521954,,,,,,,,,,,,,,
P4,silence,1,1.0477067,,,,,,,,,,,,,,
P4,silence,1,0.8912203,,,,,,,,,,,,,,
P4,silence,1,0.7707582,,,,,,,,,,,,,,
P4,silence,1,1.8482163,,,,,,,,,,,,,,
P4,silence,1,1.3815142,,,,,,,,,,,,,,
P5,silence,1,0.8712194,,,,,,,,,,,,,,
P5,silence,1,3.8453845,,,,,,,,,,,,,,
P5,silence,1,1.2136985,,,,,,,,,,,,,,
P5,silence,1,0.7969585,,,,,,,,,,,,,,
P5,silence,1,6.041277,,,,,,,,,,,,,,
P5,silence,1,0.9008706,,,,,,,,,,,,,,
P5,silence,1,0.724201,,,,,,,,,,,,,,
P5,silence,1,0.8191841,,,,,,,,,,,,,,
P5,silence,1,1.8277777,,,,,,,,,,,,,,
